X,Y,ruta,parada,label,itinerario,objectid,linea
-8411005.67058137,702732.328906227,C6-001,Estación Acevedo Metro,Estación Acevedo Metro,C6-001 Zamora Santa Rita,1,C6-001 Santa Rita - Estación Acevedo
-8410843.93074769,703254.309346523,C6-001,Cra. 52 con Cll. 117,Cra. 52 con Cll. 117,C6-001 Zamora Santa Rita,2,C6-001 Santa Rita - Estación Acevedo
-8410848.75874902,703488.246232644,C6-001,Cll. 123 con Cra. 52,Cll. 123 con Cra. 52,C6-001 Zamora Santa Rita,3,C6-001 Santa Rita - Estación Acevedo
-8410764.66240971,703747.526168186,C6-001,Cra. 45 con Cll.20D,Cra. 45 con Cll.20D,C6-001 Zamora Santa Rita,4,C6-001 Santa Rita - Estación Acevedo
-8410630.67194575,703648.72709683,C6-001,Cll. 20D con Cra. 43C,Cll. 20D con Cra. 43C,C6-001 Zamora Santa Rita,5,C6-001 Santa Rita - Estación Acevedo
-8410485.79527224,703599.906180833,C6-001,Cll. 20D con Cra. 42D,Cll. 20D con Cra. 42D,C6-001 Zamora Santa Rita,6,C6-001 Santa Rita - Estación Acevedo
-8410228.19915752,703685.005960278,C6-001,Cra. 42 con Cll. 20,Cra. 42 con Cll. 20,C6-001 Zamora Santa Rita,7,C6-001 Santa Rita - Estación Acevedo
-8410085.77870954,703764.026110724,C6-001,Cra. 41F con Cll. 21B,Cra. 41F con Cll. 21B,C6-001 Zamora Santa Rita,8,C6-001 Santa Rita - Estación Acevedo
-8409893.49866703,703765.397153229,C6-001,Cll. 21 con Cra. 41,Cll. 21 con Cra. 41,C6-001 Zamora Santa Rita,9,C6-001 Santa Rita - Estación Acevedo
-8409662.95045177,703676.387543935,C6-001,Zamora Cra. 40A con Cll 21,Zamora Cra. 40A con Cll 21,C6-001 Zamora Santa Rita,10,C6-001 Santa Rita - Estación Acevedo
-8409662.95045177,703676.387543935,C6-001,Zamora Cra. 40A con Cll 21,Zamora Cra. 40A con Cll 21,C6-001 Estación Acevedo,11,C6-001 Santa Rita - Estación Acevedo
-8409803.92974276,703676.573179558,C6-001,Cll. 21 con Cra. 40B,Cll. 21 con Cra. 40B,C6-001 Estación Acevedo,12,C6-001 Santa Rita - Estación Acevedo
-8409837.90378722,703770.881175883,C6-001,Cll. 21C con Cra. 40C,Cll. 21C con Cra. 40C,C6-001 Estación Acevedo,13,C6-001 Santa Rita - Estación Acevedo
-8410071.85390262,703780.560915805,C6-001,Cra. 41E con Cll. 21B,Cra. 41E con Cll. 21B,C6-001 Estación Acevedo,14,C6-001 Santa Rita - Estación Acevedo
-8410230.08079808,703707.482633468,C6-001,Cra. 42 con Cll. 25E,Cra. 42 con Cll. 25E,C6-001 Estación Acevedo,15,C6-001 Santa Rita - Estación Acevedo
