ruta,sentido,sistema,municipio,id_ruta,cuenca,itinerario,SHAPE__Length,objectid,linea
C3-001,2,A,05001,1,3,C3-001 Aguacatala - Santa Gema,6702.09985218738,1,C3-001 Santa Gema - Aguacatala
C3-001,1,A,05001,1,3,C3-001 Santa Gema - Aguacatala,7106.3759172682,2,C3-001 Santa Gema - Aguacatala
C3-002,1,A,05001,3,3,C3-002 Aguacatala,7224.57080243915,3,C3-002 Aguacatala - Bulerias
C3-002,2,A,05001,3,3,C3-002 Bulerías Belén Rosales,7554.84710692226,4,C3-002 Aguacatala - Bulerias
C6-001,1,A,05001,16,6,C6-001 Estación Acevedo,2443.51911021054,5,C6-001 Santa Rita - Estación Acevedo
C3-005,2,A,05001,11,3,C3-005 Aguas Frías,5134.74901189634,6,C3-005 Belén Aguas Frías - UDM
C3-005,1,A,05001,11,3,C3-005 Universidad de Medellín,5251.10475676779,7,C3-005 Belén Aguas Frías - UDM
C3-006,3,A,05001,12,3,C3-006 Las Violetas Morro - UDM - Villa Café,4313.93393849728,8,C3-006 Violetas - UDM - Villa Café
C3-007,2,A,05001,13,3,C3-007 La Palma - Loma de Los Bernal,3539.5064067933,9,C3-007 La Palma - Loma de los Bernal
C6-003,1,A,05001,19,6,C6-003 Estación Hospital,3437.98187250205,10,C6-003 Campo Valdés - Estación Hospital
C6-004,1,A,05001,20,6,C6-004 Estación Exposiciones,6488.51301565154,11,C6-004 Reserva del Seminario - Estación Exposiciones
C6-004,2,A,05001,20,6,C6-004 Reserva del Seminario,6816.40398540314,12,C6-004 Reserva del Seminario - Estación Exposiciones
C3-007,1,A,05001,13,3,C3-007 Loma de Los Bernal - La Palma,4421.25041108361,13,C3-007 La Palma - Loma de los Bernal
C3-008,1,A,05001,15,3,C3-008 La Serranía - Rosales,4001.4856284351,14,C3-008 La Serranía - Rosales
C3-008,2,A,05001,15,3,C3-008 Rosales - La Serranía,4291.16012811361,15,C3-008 La Serranía - Rosales
C6-006,1,A,05001,23,6,C6-006 Estación Alejandro Echavarría,1309.66266964273,16,C6-006 Villa Liliam - Estación Alejandro Echavarría
C6-001,2,A,05001,16,6,C6-001 Zamora Santa Rita,3149.78598008698,17,C6-001 Santa Rita - Estación Acevedo
C6-014,2,A,05001,32,6,C6-014 La Ladera,2636.67279201205,18,C6-014 La Ladera - Prado
C6-014,1,A,05001,32,6,C6-014 Prado,2499.09166033925,19,C6-014 La Ladera - Prado
C6-016,1,A,05001,34,6,C6-016 Estación Hospital,6538.79441107939,20,C6-016 Nuevo Horizonte - Estación Hospital
C6-016,2,A,05001,34,6,C6-016 Nuevo Horizonte,6207.62001075656,21,C6-016 Nuevo Horizonte - Estación Hospital
C6-002,1,A,05001,17,6,C6-002 Punto Cero,7012.04851951783,22,C6-002 Versalles - Estación Hospital - Punto Cero
C6-002,2,A,05001,17,6,C6-002 Versalles,7205.42424415313,23,C6-002 Versalles - Estación Hospital - Punto Cero
C6-003,2,A,05001,19,6,C6-003 Campo Valdés,4430.27027912941,24,C6-003 Campo Valdés - Estación Hospital
C6-019,2,A,05001,36,6,C6-019 Raizal,1976.15225531153,25,C6-019 Raizal - Parada Gardel
C6-005,2,A,05001,21,6,C6-005 El Vergel,5107.74861973154,26,C6-005 Vergel - Parque San Antonio
C6-005,1,A,05001,21,6,C6-005 Parque San Antonio,5227.69353276907,27,C6-005 Vergel - Parque San Antonio
C6-006,2,A,05001,23,6,C6-006 Villa Liliam,1903.70084350048,28,C6-006 Villa Liliam - Estación Alejandro Echavarría
C6-007,2,A,05001,24,6,C6-007 Cataluña,3130.49719627868,29,C6-007 Cataluña - Parque San Antonio
C6-007,1,A,05001,24,6,C6-007 Parque San Antonio,4197.03200995105,30,C6-007 Cataluña - Parque San Antonio
C6-008,1,A,05001,25,6,C6-008 Estación Prado,3904.77581587738,31,C6-008 La Libertad - Estación Prado
C6-019,1,A,05001,36,6,C6-019 Parada Gardel,2221.36727528699,32,C6-019 Raizal - Parada Gardel
C6-008,2,A,05001,25,6,C6-008 La Libertad,5152.55075077414,33,C6-008 La Libertad - Estación Prado
C6-009,2,A,05001,26,6,C6-009 Enciso,4956.49537093042,34,C6-009 Enciso - Estación Prado
C6-009,1,A,05001,26,6,C6-009 Estación Prado,4825.03261030834,35,C6-009 Enciso - Estación Prado
C6-010,1,A,05001,27,6,C6-010 Estación Parque Berrío,5755.9430482461,36,C6-010 Villatina - Estación Parque Berrío
C6-010,2,A,05001,27,6,C6-010 Villatina,7106.81986366256,37,C6-010 Villatina - Estación Parque Berrío
C6-011,3,A,05001,28,6,C6-011 Popular N.2 - El Playón - Acevedo,3976.45978229436,38,C6-011 Popular N.2 - El Playón - Acevedo
C6-012,3,A,05001,29,6,C6-012 Acevedo - Aranjuez - La Francia,5773.96754587702,39,C6-012 La Francia - Estacion Acevedo
C6-013,1,A,05001,31,6,C6-013 Estación Tricentenario,4052.87337660959,40,C6-013 Popular N.1 - Estación Tricentenario
C6-013,2,A,05001,31,6,C6-013 Popular No.1,4186.39265358075,41,C6-013 Popular N.1 - Estación Tricentenario
C6-018,1,A,05001,35,6,C6-018  Estación Tricentenario,3699.13212652089,42,C6-018 Santa Cecilia N.2 - Estación Tricentenario
C6-018,2,A,05001,35,6,C6-018 Santa Cecilia N.2,3796.68142699276,43,C6-018 Santa Cecilia N.2 - Estación Tricentenario
